Date,Close
2004-11-19,"1,170.34"
2004-11-22,"1,177.24"
2004-11-23,"1,176.94"
2004-11-24,"1,181.76"
2004-11-25,"1,181.76"
2004-11-26,"1,182.65"
2004-11-29,"1,178.57"
2004-11-30,"1,173.82"
2004-12-01,"1,191.37"
2004-12-02,"1,190.33"
2004-12-03,"1,191.17"
2004-12-06,"1,190.25"
2004-12-07,"1,177.07"
2004-12-08,"1,182.81"
2004-12-09,"1,189.24"
2004-12-10,"1,188.00"
2004-12-13,"1,198.68"
2004-12-14,"1,203.38"
2004-12-15,"1,205.72"
2004-12-16,"1,203.21"
2004-12-17,"1,194.20"
2004-12-20,"1,194.65"
2004-12-21,"1,205.45"
2004-12-22,"1,209.57"
2004-12-23,"1,210.13"
2004-12-24,"1,210.13"
2004-12-27,"1,204.92"
2004-12-28,"1,213.54"
2004-12-29,"1,213.45"
2004-12-30,"1,213.55"
2005-01-03,"1,202.08"
2005-01-04,"1,188.05"
2005-01-05,"1,183.74"
2005-01-06,"1,187.89"
2005-01-07,"1,186.19"
2005-01-10,"1,190.25"
2005-01-11,"1,182.99"
2005-01-12,"1,187.70"
2005-01-13,"1,177.45"
2005-01-14,"1,184.52"
2005-01-17,"1,184.52"
2005-01-18,"1,195.98"
2005-01-19,"1,184.63"
2005-01-20,"1,175.41"
2005-01-21,"1,167.87"
2005-01-24,"1,163.75"
2005-01-25,"1,168.41"
2005-01-26,"1,174.07"
2005-01-27,"1,174.55"
2005-01-28,"1,171.36"
2005-01-31,"1,181.27"
2005-02-01,"1,189.41"
2005-02-02,"1,193.19"
2005-02-03,"1,189.89"
2005-02-04,"1,203.03"
2005-02-07,"1,201.72"
2005-02-11,"1,205.30"
2005-02-14,"1,206.14"
2005-02-15,"1,210.12"
2005-02-16,"1,210.34"
2005-02-17,"1,200.75"
2005-02-18,"1,201.59"
2005-02-21,"1,201.59"
2005-02-22,"1,184.16"
2005-02-23,"1,190.80"
2005-02-24,"1,200.20"
2005-02-25,"1,211.37"
2005-02-28,"1,203.60"
2005-03-02,"1,210.08"
2005-03-03,"1,210.47"
2005-03-04,"1,222.12"
2005-03-07,"1,225.31"
2005-03-08,"1,219.43"
2005-03-09,"1,207.01"
2005-03-10,"1,209.25"
2005-03-11,"1,200.08"
2005-03-14,"1,206.83"
2005-03-15,"1,197.75"
2005-03-16,"1,188.07"
2005-03-17,"1,190.21"
2005-03-18,"1,189.65"
2005-03-21,"1,183.78"
2005-03-22,"1,171.71"
2005-03-23,"1,172.53"
2005-03-24,"1,171.42"
2005-03-25,"1,171.42"
2005-03-28,"1,174.28"
2005-03-29,"1,165.36"
2005-03-30,"1,181.41"
2005-03-31,"1,180.59"
2005-04-01,"1,172.92"
2005-04-04,"1,176.12"
2005-04-06,"1,184.07"
2005-04-07,"1,191.14"
2005-04-08,"1,181.20"
2005-04-11,"1,181.21"
2005-04-12,"1,187.76"
2005-04-13,"1,173.79"
2005-04-14,"1,162.05"
2005-04-15,"1,142.62"
